title,price,old-price,star,img
Смартфон HUAWEI P40 Lite E Aurora Blue,Цена:14 590 сом,17 990 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2375_0_2.jpeg
Смартфон HUAWEI P40 Lite Sakura Pink,Цена:20 990 сом,25 990 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2373_0_1.jpg
Смартфон Apple iPhone 7 32GB Black,Цена:27 290 сом,36 390 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_1084_0_1.jpg
Смартфон Apple iPhone 11 64GB Black Slim Box,Цена:59 090 сом,67 990 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2686_4_1.jpg
Смартфон Apple iPhone SE 64GB 2020 Black,Цена:55 490 сом,Нет старой цены,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2386_4.png
Смартфон Xiaomi Redmi 9A 2/32GB Sky Blue,Цена:10 990 сом,Нет старой цены,4,https://object.pscloud.io/cms/cms/Photo/img_0_77_2504_0_1.jpg
Смартфон Apple iPhone 12 128GB Black,Цена:87 290 сом,Нет старой цены,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2596_0_1.jpg
Смартфон Apple iPhone 12 mini 64GB Blue,Цена:68 190 сом,79 990 сом,4,https://object.pscloud.io/cms/cms/Photo/img_0_77_2609_0_1.jpg
Смартфон Xiaomi Redmi 9A 2/32GB Granite Gray,Цена:10 990 сом,Нет старой цены,4,https://object.pscloud.io/cms/cms/Photo/img_0_77_2503_1_6.png
Смартфон Apple iPhone 7 32GB Gold,Цена:27 290 сом,36 390 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_1087_0_6.png
Смартфон Apple iPhone 12 Pro 128GB Pacific Blue,Цена:90 990 сом,128 690 сом,0,https://object.pscloud.io/cms/cms/Photo/img_0_77_2624_0_1.jpg
Смартфон Apple iPhone XR 64GB Black,Цена:50 990 сом,65 290 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_1739_0_1.jpg
Смартфон Xiaomi Redmi 9A 2/32GB Peacock Green,Цена:10 990 сом,Нет старой цены,4,https://object.pscloud.io/cms/cms/Photo/img_0_77_2505_0_1.jpg
Смартфон Samsung Galaxy A32 4/64GB Black,Цена:23 690 сом,25 990 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2852_6_1.jpg
Смартфон HUAWEI P30 Lite 128GB Peacock Blue,Цена:21 590 сом,21 990 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_1867_0_1.jpg
Смартфон Samsung Galaxy S20 FE 6/128GB Cloud Navy,Цена:50 890 сом,55 990 сом,4,https://object.pscloud.io/cms/cms/Photo/img_0_77_2990_8_1.jpg
Смартфон Apple iPhone 7 32GB Silver,Цена:27 290 сом,29 990 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_1072_0_1.jpg
Смартфон Apple iPhone 12 Pro 256GB Pacific Blue,Цена:109 090 сом,141 790 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2628_0_1.jpg
Смартфон Apple iPhone 12 Pro 128GB Graphite,Цена:90 990 сом,128 690 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2621_0_1.jpg
Смартфон Samsung Galaxy A21s Red,Цена:14 790 сом,17 990 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2467_1_1.jpg
Смартфон Apple iPhone 7 32GB Rose Gold,Цена:27 290 сом,36 390 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_1090_0_1.jpg
Смартфон Apple iPhone XR 64GB Black Slim Box,Цена:50 990 сом,68 690 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2752_3_1.jpg
Смартфон Samsung Galaxy A52 8/256GB Awesome Black,Цена:36 390 сом,38 190 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2887_0_1.jpg
Смартфон Apple iPhone XR 64GB (PRODUCT) RED,Цена:50 990 сом,65 290 сом,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_1744_0_1.jpg
Смартфон Xiaomi Poco F3 5G 8/256GB Night Black,Цена:39 990 сом,Нет старой цены,4,https://object.pscloud.io/cms/cms/Photo/img_0_77_3020_3_6.png
Смартфон Xiaomi Redmi Note 10 Pro 8/128GB Glacier Blue,Цена:29 090 сом,Нет старой цены,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2935_2_6.png
Смартфон Xiaomi Redmi 10 4/128GB Sea Blue,Цена:18 190 сом,19 990 сом,0,https://object.pscloud.io/cms/cms/Photo/img_0_77_3116_11_1.jpg
Смартфон Samsung Galaxy A02 Black,Цена:9 990 сом,Нет старой цены,4,https://object.pscloud.io/cms/cms/Photo/img_0_77_2831_8_1.jpg
Смартфон Apple iPhone 12 64GB Black,Цена:80 990 сом,Нет старой цены,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2648_6_1.jpg
Смартфон Xiaomi Redmi Note 10 Pro 8/128GB Gradient Bronze,Цена:29 090 сом,Нет старой цены,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2936_4_1.jpg
Смартфон Apple iPhone SE 64GB 2020 Black Slim Box,Цена:55 490 сом,Нет старой цены,5,https://object.pscloud.io/cms/cms/Photo/img_0_77_2743_3_6.png
